store_domain,category_page_url,category_name,product_id,name,description,product_url,custom_url,type,status,sku,mpn,gtin,brand_id,brand_name,currency,regular_price,price,sale_price,sold_quantity,rating_count,rating_stars,is_available,is_out_of_stock,is_on_sale,is_require_shipping,is_taxable,image_url,original_image,tags,scraped_at
jomlah.app,https://jomlah.app/ar/category/AzBBdP,المياه والمرطبات,353957392,كرتون سن كويك شراب البرتقال المركّز 700 مل6حبات,Sunquick Orange Drink Concentrate 700 ml هي عبارة عن مركز عصير البرتقال اللذيذ، يتميز بقوامه الكثيف ونكهته الطبيعية الغنية بفيتامين سي. يمكنك تحضير ما يصل إلى 7 لتر من المشروب المنعش من مجرد كمية صغيرة من المركز. يمكنك الاستمتاع بالمذاق الرائع للعصير الطبيعي دون الحاجة إلى شراء العديد من العبوات الصغيرة. كما يمكنك استخدامه في تحضير الحلويات أو كمضاف لوجبات الإفطار الخاصة بك. جربه اليوم واستمتع بالمذاق اللذيذ لعصير البرتقال الطازج في أي وقت وفي أي مكان.,https://jomlah.app/ar/YzXQEmO,YzXQEmO,product,sale,,,,,,SAR,138,131.95,131.95,,,,True,False,True,True,True,https://cdn.salla.sa/PrYrB/6c7aaa28-16fd-4f33-9c8b-d2f3c9776847-375x500-eUUKZcWa2QiaAB1Bnqt0F5EsmJG7pr5cwPbsK7Yv.jpg,,,2026-02-05T04:50:37.226936+00:00
jomlah.app,https://jomlah.app/ar/category/AzBBdP,المياه والمرطبات,564277199,سن كويك شراب البرتقال المركّز 700 مل,لوصف Sunquick Orange Drink Concentrate 700 ml هي عبارة عن مركز عصير البرتقال اللذيذ، يتميز بقوامه الكثيف ونكهته الطبيعية الغنية بفيتامين سي. يمكنك تحضير ما يصل إلى 7 لتر من المشروب المنعش من مجرد كمية صغيرة من المركز. يمكنك الاستمتاع بالمذاق الرائع للعصير الطبيعي دون الحاجة إلى شراء العديد من العبوات الصغيرة. كما يمكنك استخدامه في تحضير الحلويات أو كمضاف لوجبات الإفطار الخاصة بك. جربه اليوم واستمتع بالمذاق اللذيذ لعصير البرتقال الطازج في أي وقت وفي أي مكان.,https://jomlah.app/ar/mZyDvpj,mZyDvpj,product,sale,,,,,,SAR,25.3,22.45,22.45,,,,True,False,True,True,True,https://cdn.salla.sa/PrYrB/a5d04031-fed6-45b9-a2f7-bdd09694be5b-500x500-j0zpPqmouYnU5yfJjGOLresKKEKcNaqcrFhodHFx.jpg,,,2026-02-05T04:50:37.226980+00:00
jomlah.app,https://jomlah.app/ar/category/AzBBdP,المياه والمرطبات,1938193935,نكتار العصير كابري سن فراولة 10*200مل,انغمس في عالم من النكهات المنعشة مع نكتار العصير كابري سن بنكهة الفراولة ، الرفيق المثالي لأوقات المرح والانتعاش. هذا المشروب اللذيذ يأتي في عبوات صغيرة ومريحة بحجم 200 مل، مما يجعله مثالياً للأطفال والكبار على حد سواء. كابري سن فراولة ليس مجرد عصير، بل هو تجربة متكاملة تجمع بين الطعم الرائع والفوائد الغذائية. استمتع بالطعم الغني للفراولة الطازجة في كل رشفة، واستعد طاقتك ليوم حافل بالنشاط والحيوية. لماذا تختار نكتار كابري سن فراولة؟ نكهة الفراولة الطبيعية: مصنوع من عصير الفراولة الحقيقي ليمنحك طعماً لا يقاوم. عبوات مريحة: تصميم عملي يسهل حمله وتناوله في أي مكان وزمان. كمية مثالية: حجم العبوة (200 مل) مناسب للأطفال ويمنحهم الكمية المناسبة من العصير. جودة عالية: منتج موثوق به من علامة تجارية عالمية معروفة بجودتها. مناسب لجميع الأعمار: يمكن الاستمتاع به من قبل جميع أفراد العائلة. اجعل نكتار العصير كابري سن فراولة جزءاً من وجبة الإفطار، أو ضعه في حقيبة الغداء، أو استمتع به كوجبة خفيفة منعشة بعد الظهر. بفضل مذاقه الرائع وعبوته المريحة، سيكون هذا العصير هو المفضل لدى الجميع. دلل نفسك وأحبائك بالطعم الرائع والانتعاش الذي يوفره نكتار كابري سن فراولة.,https://jomlah.app/ar/WznonXP,WznonXP,product,sale,,,,,,SAR,15,12.95,12.95,12,1,5,True,False,True,True,True,https://cdn.salla.sa/PrYrB/350f061d-1505-43d1-8a1a-e6424b88cdfa-500x500-TZXtvhmrKJchoHeSQgXyxHWBDS86XlHs6TDuBJSm.png,https://cdn.salla.sa/PrYrB/TZXtvhmrKJchoHeSQgXyxHWBDS86XlHs6TDuBJSm.png,,2026-02-05T04:50:37.226995+00:00
jomlah.app,https://jomlah.app/ar/category/AzBBdP,المياه والمرطبات,1190614945,نكتار العصير كابري سن برتقال 10*200 مل,استمتع بالطعم الرائع والمغذي مع نكتار العصير كابري سن بنكهة البرتقال ، الخيار المثالي لأطفالك ولجميع أفراد العائلة. يأتي هذا المنتج في عبوة تحتوي على 10 أكياس ، كل كيس بحجم 200 مل ، مما يجعله مثاليًا للاستمتاع به في أي وقت وفي أي مكان. لماذا تختار نكتار العصير كابري سن بنكهة البرتقال؟ طعم البرتقال الطبيعي: مصنوع من عصير البرتقال الحقيقي ليمنحك نكهة منعشة ولذيذة. مغذي ومفيد: غني بالفيتامينات والمعادن التي يحتاجها الجسم للحفاظ على صحته ونشاطه. عبوات سهلة الحمل: تصميم العبوات يجعله سهل الحمل في الحقائب المدرسية، النزهات، والرحلات. مناسب لجميع الأعمار: يمكن للأطفال والكبار الاستمتاع به كوجبة خفيفة صحية ومنعشة. جودة عالية: يتميز بجودته العالية ومعايير التصنيع الدقيقة لضمان أفضل تجربة استهلاكية. كابري سن هو الرفيق المثالي لأوقات اللعب، الدراسة، والترفيه. اجعل يوم أطفالك أكثر سعادة وحيوية مع هذا العصير اللذيذ والمغذي. لا تتردد في الحصول على عبوتك الآن!,https://jomlah.app/ar/WznoQWq,WznoQWq,product,sale,,,,,,SAR,15,12.95,12.95,13,,,True,False,True,True,True,https://cdn.salla.sa/PrYrB/45fcc270-23f1-4996-9d41-4d61b39571ea-500x500-AvOZh4Ltqjiw47l9kQs59ifHrzIgzpD4LumAcYXE.png,https://cdn.salla.sa/PrYrB/AvOZh4Ltqjiw47l9kQs59ifHrzIgzpD4LumAcYXE.png,,2026-02-05T04:50:37.227039+00:00
jomlah.app,https://jomlah.app/ar/category/AzBBdP,المياه والمرطبات,1161011425,مياه غازية بيريه 6 * 200 مل,انغمس في تجربة منعشة لا مثيل لها مع مياه غازية بيريه . هذه المياه الفوارة الفرنسية الأصلية تأتي في عبوة تحتوي على 6 زجاجات، كل منها بحجم 200 مل، لتمنحك انتعاشًا فريدًا في كل رشفة. لماذا تختار مياه بيريه؟ نقاء لا يضاهى: مياه بيريه معروفة بنقائها وجودتها العالية، حيث تنبع من قلب فرنسا. فقاعات طبيعية: تتميز بفقاعاتها الطبيعية المنعشة التي تضفي لمسة فاخرة على تجربة الشرب. متعددة الاستخدامات: مثالية للاستمتاع بها بمفردها، أو كمكون أساسي في تحضير الموكتيلات والكوكتيلات المميزة. تصميم أنيق: تأتي في زجاجات أنيقة تضيف لمسة من الرقي إلى مائدتك. سواء كنت تبحث عن مشروب منعش في يوم حار، أو ترغب في إضافة لمسة من الفخامة إلى مناسبتك الخاصة، فإن مياه غازية بيريه هي الخيار الأمثل. استمتع بالطعم الرائع والفقاعات المنعشة التي تجعل كل لحظة فريدة. تنويه هام: جميع المنتجات لدينا جديدة وتخضع لضمان المتجر لضمان حصولك على أفضل جودة وأحدث تاريخ إنتاج.,https://jomlah.app/ar/mZxayBG,مياه-غازية-بيريه-6-200مل,product,sale,,,,,,SAR,30,28.95,28.95,12,,,True,False,True,True,True,https://cdn.salla.sa/PrYrB/5ba1fd53-0b04-44d9-b6f7-41ae81656882-500x500-8LOVP8qirCWdudW1QzJulLmHf3Ner59ppUPw9N5Q.png,https://cdn.salla.sa/PrYrB/8LOVP8qirCWdudW1QzJulLmHf3Ner59ppUPw9N5Q.png,صودا|مشروبات|بيريه|مياه غازية|مياه معدنية|انتعاش|200مل,2026-02-05T04:50:37.227062+00:00
jomlah.app,https://jomlah.app/ar/category/AzBBdP,المياه والمرطبات,470403597,ليمون بيدر 1لتر,,https://jomlah.app/ar/xvWljDG,xvWljDG,product,sale,,,,,,SAR,12.19,7.48,7.48,38,3,3.3,True,False,True,True,True,https://cdn.salla.sa/PrYrB/20497fae-13fa-4bfd-b674-5952c18f449c-500x500-xt3IQEzE9KFkR4aMYX2TyqagAETTZVZ9ZNtx2axG.png,,,2026-02-05T04:50:37.227073+00:00
jomlah.app,https://jomlah.app/ar/category/AzBBdP,المياه والمرطبات,538998570,شراب روح افزا 800مل,,https://jomlah.app/ar/gydlEed,gydlEed,product,sale,,,,,,SAR,24.84,23,23,3,,,True,False,True,True,True,https://cdn.salla.sa/PrYrB/0a49a7aa-da44-4e7d-a74e-bb527560ce27-500x500-g4TZfCrbcYKOZN60rTy9oieapflaPR2lKD4TRRKO.jpg,,,2026-02-05T04:50:37.227083+00:00
jomlah.app,https://jomlah.app/ar/category/AzBBdP,المياه والمرطبات,1448831017,شراب توت كرستال 725مل,,https://jomlah.app/ar/bwZNDWw,bwZNDWw,product,sale,,,,,,SAR,20.24,19.55,19.55,56,,,True,False,True,True,True,https://cdn.salla.sa/PrYrB/c48fbd07-e932-4b23-b120-859a0e29a7d7-500x500-nEzFdXKhke23qhBgBnf5CL2qcJZ2w3ezkdNCV0Th.png,,,2026-02-05T04:50:37.227092+00:00
jomlah.app,https://jomlah.app/ar/category/AzBBdP,المياه والمرطبات,75385128,شراب توت دلتا 720جم,,https://jomlah.app/ar/OyDPYZq,OyDPYZq,product,sale,,,,,,SAR,24.84,11.5,11.5,27,1,5,True,False,True,True,True,https://cdn.salla.sa/PrYrB/e389f738-30c6-4474-871a-784fdb76536f-500x500-zAjbtPC2gPiNgvOw3rOt1NuuvjZSfqPEMXCgkryO.jpg,,,2026-02-05T04:50:37.227101+00:00
jomlah.app,https://jomlah.app/ar/category/AzBBdP,المياه والمرطبات,714156591,شراب توت تونو 710مل,,https://jomlah.app/ar/azrlPnX,azrlPnX,product,sale,,,,,,SAR,16.1,13.95,13.95,104,2,3,True,False,True,True,True,https://cdn.salla.sa/PrYrB/d8e16ee0-b4e4-498c-83a1-5928d1a4bc42-500x500-AOm6u1qwbdjANFoMDw2gIyMTLUCTiS3GN7Amr4HM.jpg,,,2026-02-05T04:50:37.227110+00:00
