Handle,Title,Vendor,Product Category,Image Src,Status
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2026/01/Frame-214.png,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/10/Mask-group-8.webp,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/12/FOB-English-MV-scaled.jpeg,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/11/EN-front-500g-20-1_11zon.webp,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/12/Screenshot-2025-12-01-at-4.37.06-PM-1-1-scaled.png,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/11/06.-20x10-1.jpeg,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/12/juhayna-stirred12515-copy.jpg,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/11/EN-front-500g-6-3_11zon.webp,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/11/1738682728_563_296198_archive.png,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/11/1676893348_664_6317057_b_hussein24214-scaled-1.jpg,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/11/1676893541_435_5648608_b_hussein24274-scaled-1.jpg,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/09/Vector-9.png,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/11/1719149568_662_276584_1581340658_334_992597_yough_master_2.png,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/09/Vec1tor.png,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/12/Acai-min-scaled.webp,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/09/Vector-10.png,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/11/1725178690_197_385107_greek-1.png,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/11/1676889813_670_15473013_5-scaled-1.jpg,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/11/74b2f86344ed6a0bd647f566708f57eb56f813a0-1-scaled.jpg,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/12/Chocolate-less-sugar-mockup-En-min-scaled.webp,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/11/fcc4debaacbcdb68d97dd3e973f4af99601cc013-1-scaled.jpg,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/11/1676894100_343_4299948_b_hussein24624-1-scaled.jpg,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/10/1676893196_189_11408201_b_hussein23924-scaled-1.jpg,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/11/1676888977_674_18163236_11-scaled-1.jpg,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/12/apple-3D-En-min-scaled.png,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/11/1720437786_960_259350_archive22.png,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/09/Bekharo_11.png,active
juhayna-product,Juhayna Product,Juhayna,dairy,https://www.juhayna.com/app/uploads/2025/11/1583765675_844_431779_bekheiro.png,active
juhayna-product,Juhayna Product,Juhayna,dairy/yogurt,https://www.juhayna.com/app/uploads/2025/10/1719150408_903_31708_plain_en_2.png,active
juhayna-product,Juhayna Product,Juhayna,dairy/yogurt,https://www.juhayna.com/app/uploads/2025/10/1719150325_671_30644_light_en_2.png,active
juhayna-product,Juhayna Product,Juhayna,dairy/yogurt,https://www.juhayna.com/app/uploads/2025/10/1719411621_658_23789_4_1.png,active
juhayna-product,Juhayna Product,Juhayna,dairy/yogurt,https://www.juhayna.com/app/uploads/2025/10/1719411595_633_22876_4_2.png,active
cheese,Cheese,Domty,dairy/cheese,https://www.domty.org/uploads/products/397544_Domty-TP-Fetafront.png,active
product-34,,El Abd,grocery/bakery,https://elabd-ecommerce-production.azurewebsites.net/images/thumbs/0001722_-_415.webp,active
product-35,,El Abd,grocery/bakery,https://elabdfoods.com/images/thumbs/0000357_-_415.png,active
product-36,,El Abd,grocery/bakery,https://elabdfoods.com/images/thumbs/0000360_-_415.png,active
product-37,,El Abd,grocery/bakery,https://elabd-ecommerce-production.azurewebsites.net/images/thumbs/0001410_-_415.png,active
product-38,,El Abd,grocery/bakery,https://elabdfoods.com/images/thumbs/0000737_-_415.png,active
product-39,,El Abd,grocery/bakery,https://elabdfoods.com/images/thumbs/0000363_-_415.png,active
product-40,,El Abd,grocery/bakery,https://elabdfoods.com/images/thumbs/0001402_-_415.webp,active
product-41,,El Abd,grocery/bakery,https://elabd-ecommerce-production.azurewebsites.net/images/thumbs/0000739_-_415.png,active
product-42,,El Abd,grocery/bakery,https://elabdfoods.com/images/thumbs/0001721_-_415.webp,active
product-43,,El Abd,grocery/bakery,https://elabdfoods.com/images/thumbs/0001720_-_415.webp,active
product-44,,El Abd,grocery/bakery,https://elabd-ecommerce-production.azurewebsites.net/images/thumbs/0001941_-_415.webp,active
product-45,,El Abd,grocery/bakery,https://elabd-ecommerce-production.azurewebsites.net/images/thumbs/0000351_-_415.png,active
product-46,,El Abd,grocery/bakery,https://elabdfoods.com/images/thumbs/0000565_-_415.png,active
product-47,,El Abd,grocery/bakery,https://elabdfoods.com/images/thumbs/0000675_-_415.png,active
product-48,,El Abd,grocery/bakery,https://elabdfoods.com/images/thumbs/0000683_-_415.png,active
product-49,,El Abd,grocery/bakery,https://elabdfoods.com/images/thumbs/0001944_-_415.webp,active
product-50,,El Abd,grocery/bakery,https://elabdfoods.com/images/thumbs/0001943_-_415.webp,active
product-51,,El Abd,grocery/bakery,https://elabdfoods.com/images/thumbs/0001942_-_415.webp,active
product-52,,El Abd,grocery/bakery,https://elabd-ecommerce-production.azurewebsites.net/images/thumbs/0001598_-_415.webp,active
product-53,,El Abd,grocery/bakery,https://elabdfoods.com/images/thumbs/0001602_-_415.webp,active
product-54,,El Abd,grocery/bakery,https://elabdfoods.com/images/thumbs/0001610_-_415.webp,active
